neighbourhood,latitude,longitude,room_type,price,minimum_nights,calculated_host_listings_count,availability_365,number_of_reviews_ltm
Hammersmith and Fulham,51.49462,-0.22923,Hotel room,72,1,11,229,20
Enfield,51.64553,-0.14404,Hotel room,99,1,5,356,2
Enfield,51.64561,-0.14412,Hotel room,99,1,5,345,3
Greenwich,51.48705,0.00172,Hotel room,68,1,1,313,92
Hammersmith and Fulham,51.4904,-0.20803,Hotel room,119,3,13,332,1
Hammersmith and Fulham,51.4904,-0.20658,Hotel room,119,7,13,322,4
Hammersmith and Fulham,51.48912,-0.20816,Hotel room,119,2,13,269,2
Hammersmith and Fulham,51.48893,-0.20615,Hotel room,146,3,13,303,4
Hammersmith and Fulham,51.48827,-0.20736,Hotel room,174,3,13,315,3
Hammersmith and Fulham,51.48828,-0.20767,Hotel room,174,3,13,310,2
Hammersmith and Fulham,51.48852,-0.20601,Hotel room,174,3,13,339,5
Hammersmith and Fulham,51.48833,-0.2072,Hotel room,119,4,13,253,0
Hammersmith and Fulham,51.49045,-0.20593,Hotel room,170,3,13,341,5
Hammersmith and Fulham,51.48846,-0.20762,Hotel room,179,3,13,0,1
Hammersmith and Fulham,51.48736,-0.20752,Hotel room,210,3,13,1,3
Hammersmith and Fulham,51.48882,-0.20807,Hotel room,274,4,13,300,1
Enfield,51.64556,-0.14369,Hotel room,99,1,5,348,8
Southwark,51.48615,-0.10779,Hotel room,140,1,7,330,37
Southwark,51.4863,-0.1066,Hotel room,200,1,7,340,23
Kensington and Chelsea,51.51022,-0.19724,Hotel room,129,1,4,308,18
Kensington and Chelsea,51.49274,-0.16606,Hotel room,198,3,42,271,5
Kensington and Chelsea,51.49273,-0.16416,Hotel room,205,3,42,276,0
Kensington and Chelsea,51.51078,-0.19496,Hotel room,119,1,4,310,21
Tower Hamlets,51.52661,-0.03617,Hotel room,59,1,4,0,2
Westminster,51.5112,-0.11883,Hotel room,70,1,33,0,9
Hackney,51.54747,-0.05635,Hotel room,139,1,2,362,18
Hammersmith and Fulham,51.51075,-0.23159,Hotel room,31,1,4,350,23
Hammersmith and Fulham,51.50953,-0.22972,Hotel room,31,1,4,353,21
Tower Hamlets,51.52683,-0.03647,Hotel room,127,1,4,103,5
Kensington and Chelsea,51.49177,-0.1658,Hotel room,205,3,42,294,3
Kensington and Chelsea,51.49312,-0.16545,Hotel room,205,3,42,288,0
Westminster,51.52092,-0.15545,Hotel room,807,3,55,44,5
Newham,51.50772,0.01883,Hotel room,310,3,19,86,6
Westminster,51.51446,-0.15052,Hotel room,525,2,55,313,14
Enfield,51.64774,-0.08102,Hotel room,97,1,6,352,15
Enfield,51.6456,-0.07942,Hotel room,72,1,6,351,9
Croydon,51.38283,-0.08483,Hotel room,145,1,10,363,140
Kensington and Chelsea,51.52155,-0.2101,Hotel room,743,2,55,107,0
Croydon,51.38351,-0.08472,Hotel room,121,1,10,359,11
Camden,51.53578,-0.18912,Hotel room,195,2,2,0,0
Camden,51.53554,-0.18992,Hotel room,180,2,2,0,0
Kensington and Chelsea,51.49303,-0.16442,Hotel room,255,3,165,86,0
Enfield,51.6577,-0.08129,Hotel room,83,1,6,344,2
Enfield,51.65825,-0.08078,Hotel room,83,1,6,349,1
Enfield,51.65665,-0.08117,Hotel room,83,1,6,347,1
Enfield,51.65618,-0.07973,Hotel room,83,1,6,348,3
Kensington and Chelsea,51.49171,-0.16377,Hotel room,205,3,42,253,3
Enfield,51.64556,-0.14369,Hotel room,99,1,5,352,0
Kensington and Chelsea,51.49316,-0.16483,Hotel room,198,3,42,226,0
Kensington and Chelsea,51.49299,-0.16443,Hotel room,255,3,165,359,2
Newham,51.50778,0.02012,Hotel room,299,2,19,81,5
Kensington and Chelsea,51.51917,-0.20488,Hotel room,591,3,55,338,4
Kensington and Chelsea,51.49114,-0.16475,Hotel room,255,3,165,102,2
Kensington and Chelsea,51.49311,-0.16379,Hotel room,255,3,165,84,0
Kensington and Chelsea,51.4915,-0.1654,Hotel room,209,3,42,268,1
Barnet,51.56911,-0.2185,Hotel room,25,3,3,0,0
Islington,51.55346,-0.10815,Hotel room,50,2,1,0,0
Kensington and Chelsea,51.49113,-0.16552,Hotel room,255,3,165,358,6
Kensington and Chelsea,51.49119,-0.16484,Hotel room,255,3,165,364,3
Kensington and Chelsea,51.49103,-0.16583,Hotel room,255,3,165,309,4
Kensington and Chelsea,51.49113,-0.16569,Hotel room,315,3,165,77,0
Kensington and Chelsea,51.4927,-0.16382,Hotel room,255,3,165,358,1
Kensington and Chelsea,51.49315,-0.16578,Hotel room,255,3,165,348,5
Kensington and Chelsea,51.49156,-0.16445,Hotel room,255,3,165,282,11
Kensington and Chelsea,51.49312,-0.16443,Hotel room,255,3,165,364,3
Kensington and Chelsea,51.49136,-0.16474,Hotel room,255,2,165,87,0
Kensington and Chelsea,51.49323,-0.16361,Hotel room,205,3,42,263,1
Barnet,51.57373,-0.20219,Hotel room,99,1,5,334,13
Barnet,51.57432,-0.20097,Hotel room,111,1,5,251,2
Barnet,51.57538,-0.20074,Hotel room,127,1,5,176,4
Kensington and Chelsea,51.52329,-0.21053,Hotel room,743,2,55,359,0
Hounslow,51.49687,-0.24626,Hotel room,120,1,2,0,1
Kensington and Chelsea,51.49102,-0.16404,Hotel room,315,3,165,69,0
