neighbourhood,latitude,longitude,room_type,price,minimum_nights,calculated_host_listings_count,availability_365,number_of_reviews_ltm
Greenwich,51.48055,0.07261,Shared room,50,4,1,365,0
Newham,51.55379,0.03085,Shared room,23,1,1,314,0
Kensington and Chelsea,51.51791,-0.20092,Shared room,39,1,1,1,52
Haringey,51.58693,-0.09932,Shared room,27,2,1,264,21
Islington,51.56243,-0.11821,Shared room,27,2,3,0,0
Hackney,51.54465,-0.04945,Shared room,70,3,1,34,0
Tower Hamlets,51.5387,-0.02221,Shared room,24,4,2,0,0
Newham,51.53969,0.03227,Shared room,18,1,7,348,2
Tower Hamlets,51.49273,-0.02471,Shared room,26,1,3,1,43
Kensington and Chelsea,51.52047,-0.21237,Shared room,199,3,1,365,0
Enfield,51.62429,-0.09333,Shared room,19,1,1,0,0
Newham,51.52985,0.00714,Shared room,55,3,4,161,4
Kensington and Chelsea,51.50959,-0.19473,Shared room,125,1,1,0,0
Camden,51.52801,-0.12903,Shared room,50,2,1,0,0
Hackney,51.53774,-0.05579,Shared room,40,8,1,0,0
Haringey,51.57527,-0.09251,Shared room,15,3,1,0,0
Harrow,51.6033,-0.27247,Shared room,60,1,1,342,0
Islington,51.56591,-0.12535,Shared room,45,1,1,0,0
Brent,51.53988,-0.19958,Shared room,30,2,1,135,10
Islington,51.53859,-0.11799,Shared room,30,2,2,0,0
Westminster,51.51034,-0.11935,Shared room,28,1,14,337,3
Tower Hamlets,51.50092,-0.01883,Shared room,78,1,1,0,0
Tower Hamlets,51.52948,-0.02304,Shared room,35,1,1,0,0
Camden,51.52848,-0.11626,Shared room,30,1,1,0,0
Westminster,51.5104,-0.11788,Shared room,31,1,14,337,9
Tower Hamlets,51.51375,-0.06804,Shared room,19,21,1,0,0
Kensington and Chelsea,51.49163,-0.17797,Shared room,160,1,1,0,0
Westminster,51.51096,-0.11746,Shared room,30,1,14,339,6
Redbridge,51.55952,0.07972,Shared room,16,1,1,230,30
Greenwich,51.48319,0.06986,Shared room,60,1,6,253,0
Camden,51.53048,-0.13358,Shared room,300,1,1,3,3
Lewisham,51.44729,0.00181,Shared room,30,1,1,0,0
Islington,51.55037,-0.10573,Shared room,23,4,1,0,0
Westminster,51.5118,-0.11944,Shared room,28,1,14,337,1
Richmond upon Thames,51.45248,-0.3221,Shared room,200,1,2,0,0
Westminster,51.51141,-0.11725,Shared room,28,1,14,336,2
Ealing,51.51927,-0.32435,Shared room,40,1,1,0,0
Westminster,51.51255,-0.11895,Shared room,31,1,14,331,17
Haringey,51.579,-0.10152,Shared room,18,1,1,0,0
Westminster,51.51282,-0.18014,Shared room,45,1,1,0,0
Haringey,51.583,-0.12831,Shared room,70,1,1,0,0
Newham,51.50625,0.02482,Shared room,39,1,4,363,1
Newham,51.50443,0.02473,Shared room,40,1,4,350,5
Southwark,51.49562,-0.07767,Shared room,152,1,1,0,0
Merton,51.41914,-0.17427,Shared room,56,1,2,328,10
Westminster,51.51257,-0.11928,Shared room,31,1,14,335,3
Westminster,51.48976,-0.14599,Shared room,30,2,3,0,0
Newham,51.54204,-0.00718,Shared room,17,1,1,0,0
Camden,51.54762,-0.14843,Shared room,39,5,1,0,0
Newham,51.53275,-0.00995,Shared room,100,365,1,358,0
Brent,51.5585,-0.29249,Shared room,70,3,1,349,3
Redbridge,51.59113,0.08613,Shared room,65,15,3,364,0
Lambeth,51.46239,-0.11304,Shared room,22,1,1,0,0
Newham,51.53404,-0.00585,Shared room,40,1,1,0,0
Westminster,51.52651,-0.19722,Shared room,20,1,1,0,0
Kensington and Chelsea,51.48916,-0.19103,Shared room,35,1,1,0,0
Islington,51.56122,-0.12346,Shared room,20,14,1,0,0
Newham,51.49992,0.06708,Shared room,35,1,1,0,0
Camden,51.52532,-0.14174,Shared room,28,2,1,0,0
Merton,51.41882,-0.1524,Shared room,20,2,2,300,0
Islington,51.52727,-0.09662,Shared room,38,1,2,0,0
Ealing,51.50332,-0.33121,Shared room,20,3,1,0,0
Hammersmith and Fulham,51.51531,-0.22774,Shared room,60,1,1,0,0
Brent,51.55006,-0.25484,Shared room,18,7,1,0,0
Westminster,51.51051,-0.1182,Shared room,31,1,14,323,9
Barnet,51.57663,-0.2039,Shared room,80,3,1,0,0
Lambeth,51.49434,-0.11446,Shared room,122,1,2,88,0
Sutton,51.36369,-0.18612,Shared room,35,1,2,0,0
Westminster,51.53461,-0.19091,Shared room,35,2,1,0,0
Harrow,51.58314,-0.36256,Shared room,60,1,1,89,0
Hackney,51.53021,-0.09269,Shared room,65,5,2,0,0
Haringey,51.57339,-0.141,Shared room,540,1,1,89,0
Haringey,51.56726,-0.1009,Shared room,22,3,1,0,0
Merton,51.41795,-0.22708,Shared room,80,1,1,81,0
Lambeth,51.49434,-0.11446,Shared room,47,1,2,98,11
Lambeth,51.44173,-0.10421,Shared room,70,1,1,0,0
